Unnamed: 0,sup_type,name,address_street,city,postcode,lat,long,website,email,telephone,supplier_contact,supplier_contact_email,supplier_contact_telephone,percent_recyclablenum,percent_efwnum,provides_a_rebateyn,supplier_auditislist_yes_no_na,supplier_audit_date_completed,notes,hierarchy,origin
0,Charity,Bridge Community Trust (Reading),9 Sample Street,Reading,D9 2SN,51.3376993,-0.9056349,https://www.example-charity.org,contact.0@example-charity.org,03286 872246,,,,,,0,,,,Reuse,synthetic_sample_data
1,Charity,Bridge Charity Shop (Leeds),195 Sample Street,Leeds,H8 5ZA,53.8024066,-1.6911392,https://www.example-charity.org,contact.1@example-charity.org,09928 539898,,,,69.8,,1,,,,Reuse,synthetic_sample_data
2,Charity,Lighthouse Furniture Project (Bristol),12 Sample Street,Bristol,D6 6TI,51.3511438,-2.4507361,https://www.example-charity.org,contact.2@example-charity.org,02519 498382,,,,53.6,,1,,,,Reuse,synthetic_sample_data
3,Charity,Steppingstone Outreach (Manchester),198 Sample Street,Manchester,G2 1VH,53.4964122,-2.1437786,https://www.example-charity.org,contact.3@example-charity.org,06925 705397,,,,,,0,,,,Reuse,synthetic_sample_data
4,Charity,Forward Charity Shop (Leeds),180 Sample Street,Leeds,L6 4VI,53.9107451,-1.5850621,https://www.example-charity.org,contact.4@example-charity.org,06977 270555,,,,64.8,,0,,,,Reuse,synthetic_sample_data
5,Charity,Haven Reuse Store (Nottingham),81 Sample Street,Nottingham,K1 4BZ,53.023538,-1.2590793,https://www.example-charity.org,contact.5@example-charity.org,04598 817870,,,,,,0,,,,Reuse,synthetic_sample_data
6,Charity,Lighthouse Community Trust (Leeds),64 Sample Street,Leeds,U8 3IE,53.9247408,-1.528946,https://www.example-charity.org,contact.6@example-charity.org,09179 514850,,,,53.9,,1,,,,Reuse,synthetic_sample_data
7,Charity,New Leaf Foundation (Southampton),41 Sample Street,Southampton,Y1 2EU,50.8795202,-1.4886038,https://www.example-charity.org,contact.7@example-charity.org,09085 195325,,,,42.2,,0,,,,Reuse,synthetic_sample_data
8,Charity,Together Reuse Store (Liverpool),197 Sample Street,Liverpool,X2 9YI,53.3728858,-2.8427636,https://www.example-charity.org,contact.8@example-charity.org,01188 813328,,,,11.2,,1,,,,Reuse,synthetic_sample_data
9,Charity,Compass Foundation (Birmingham),40 Sample Street,Birmingham,D5 9TG,52.4723171,-1.7542552,https://www.example-charity.org,contact.9@example-charity.org,03927 632342,,,,,,0,,,,Reuse,synthetic_sample_data
10,Charity,Hope Foundation (Nottingham),62 Sample Street,Nottingham,A2 6ZJ,53.0908499,-1.0313698,https://www.example-charity.org,contact.10@example-charity.org,06310 612340,,,,,,0,,,,Reuse,synthetic_sample_data
11,Charity,Together Outreach (Manchester),136 Sample Street,Manchester,V8 9FI,53.5503723,-2.147793,https://www.example-charity.org,contact.11@example-charity.org,03060 234628,,,,42.3,,0,,,,Reuse,synthetic_sample_data
12,Charity,Compass Support Network (Nottingham),17 Sample Street,Nottingham,Q8 2HH,53.0313796,-1.1011397,https://www.example-charity.org,contact.12@example-charity.org,07118 559381,,,,,,0,,,,Reuse,synthetic_sample_data
13,Charity,Hope Community Trust (Southampton),172 Sample Street,Southampton,K2 9HI,50.8257652,-1.5331021,https://www.example-charity.org,contact.13@example-charity.org,02104 132938,,,,,,0,,,,Reuse,synthetic_sample_data
14,Charity,Forward Community Trust (Coventry),111 Sample Street,Coventry,N4 2DV,52.5374543,-1.4983871,https://www.example-charity.org,contact.14@example-charity.org,08749 946721,,,,,,1,,,,Reuse,synthetic_sample_data
15,Charity,Second Chance Furniture Project (Newcastle),138 Sample Street,Newcastle,K2 4GG,55.087451,-1.7515486,https://www.example-charity.org,contact.15@example-charity.org,07596 863587,,,,,,1,,,,Reuse,synthetic_sample_data
16,Charity,Second Chance Support Network (Birmingham),61 Sample Street,Birmingham,U9 1CY,52.4197635,-1.9654581,https://www.example-charity.org,contact.16@example-charity.org,02604 153045,,,,,,1,,,,Reuse,synthetic_sample_data
17,Charity,Hope Community Trust (Newcastle),179 Sample Street,Newcastle,M5 8JN,54.8924242,-1.6474879,https://www.example-charity.org,contact.17@example-charity.org,07209 102260,,,,99.5,,1,,,,Reuse,synthetic_sample_data
18,Charity,Hope Foundation (Birmingham),123 Sample Street,Birmingham,X6 1BS,52.3931694,-1.9750897,https://www.example-charity.org,contact.18@example-charity.org,09883 163918,,,,,,0,,,,Reuse,synthetic_sample_data
19,Charity,New Leaf Furniture Project (London),149 Sample Street,London,H7 2SH,51.6456337,-0.2537666,https://www.example-charity.org,contact.19@example-charity.org,02113 808011,,,,,,0,,,,Reuse,synthetic_sample_data
20,Charity,Lighthouse Reuse Store (Liverpool),34 Sample Street,Liverpool,W6 4IM,53.4556119,-2.9720319,https://www.example-charity.org,contact.20@example-charity.org,04346 802258,,,,30.0,,1,,,,Reuse,synthetic_sample_data
21,Charity,Steppingstone Furniture Project (Manchester),18 Sample Street,Manchester,G9 5EL,53.3335946,-2.2062522,https://www.example-charity.org,contact.21@example-charity.org,02200 663750,,,,37.0,,0,,,,Reuse,synthetic_sample_data
22,Charity,Steppingstone Outreach (Newcastle),35 Sample Street,Newcastle,V9 5VD,55.0784235,-1.556738,https://www.example-charity.org,contact.22@example-charity.org,09666 108203,,,,,,0,,,,Reuse,synthetic_sample_data
23,Charity,Steppingstone Community Trust (Coventry),14 Sample Street,Coventry,V5 9PI,52.4227671,-1.5879955,https://www.example-charity.org,contact.23@example-charity.org,06617 313487,,,,,,1,,,,Reuse,synthetic_sample_data
