Destination,MIX01,PLA01,HAR01,MET01,PAP01,TIM01,DMR01,CEIL01,HAZ01,GLA01,MUN01,CON01,BRI01,FURN01,FLO01,INS01,GARD01,TIL01,NON01,NHM01,OTH
Charity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Direct EFW,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105
Direct Recycling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EFW via MRF,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105
Hazardous Waste Landfill,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114
Landfill,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114
Recycling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recycling via MRF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reuse Offsite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reuse Onsite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Take-Back Scheme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
