,sup_type,name,address_street,city,postcode,lat,long,website,email,telephone,supplier_contact,supplier_contact_email,supplier_contact_telephone,percent_recyclablenum,percent_efwnum,provides_a_rebateyn,supplier_auditislist_yes_no_na,supplier_audit_date_completed,notes,hierarchy,origin
350,Landfill,Beddington Corner Landfill,"Beddington Corner, London Road",Mitcham,CR0 4TD,51.3845855,-0.1389927,,enquiries@viridor.co.uk,01823 721400,,,,,,0,,,,,df2
351,Landfill,Tripcock Point Landill,"Licenced Facility 3, Tripcock Point",Thamesmead,SE28 0AB,51.4955383,0.100467,,,,,,,,,0,,,,,df2
354,Landfill,Kingscliffe Landfill,"Augean, Old Leicester Road, Wansford",Peterborough,PE8 6NH,52.585767,-0.4361955,,info@augeanplc.com,01780 444900,,,,,,0,,,Hazardous Waste Landfill,,df2
365,Landfill,Rainham Landfill,"Ferry Lane, Phase 4, Rainham Landfill",Wennington Marshes  Ferry Lane  Rainham,RM13 9BJ,51.4890017,0.1927471,,veolia.rainhamlandfill@veolia.com,,,,,,,0,,,,,df2
367,Landfill,"Aveley No2,2a,3 Clay Pit","Aveley Landfill, Sandy Lane, Aveley",South Ockendon,RM15 4XP,51.503331,0.2373123,,,,,,,,,0,,,,,df2
368,Landfill,Gerpins Lane Landfill Site,Gerpins Lane,Upminster,RM14 2XR,51.5347847,0.2365618,,enquries@eastlondonwaste.gov.uk,,,,,,,0,,,,,df2
369,Landfill,Ockendon Area 2 & 3 Landfill,Medebridge Road,Grays,RM16 5TZ,51.5181258,0.3264412,,keith.crawley@veolia.com,01708857203,,,,,,0,,,,,df2
370,Landfill,Old Mill Farm,"Darenth Hill, Darenth",Dartford,DA2 7QZ,51.4197576,0.2378308,,keith.crawley@veolia.com,01708857203,,,,,,0,,,,,df2
371,Landfill,Egglesey Farm Area C,"Egglesey Farm, Colnbrook Bypass Area C, Colnbrook",,SL3 0EB,51.4851322,-0.5019156,,info@crestwoodenvironmental.co.uk,,,,,,,0,,,,,df2
372,Landfill,Harmondsworth Landfill Site,"Holloway Lane, Sipson",,UB7 0AE,51.4900239,-0.4740129,,enquires@environment-agency.gov.uk,,,,,,,0,,,,,df2
373,Landfill,Imperial College Harlington,Off Sipson Lane,Harlington,UB7 0JG,51.4901394,-0.456047,,w.hollyer@imperial.ac.uk,02075948962.,,,,,,0,,,,,df2
374,Landfill,Kingsmead Landfill,"Stanwell Road, Thorpe",Horton,SL3 9PA,51.4731172,-0.5403075,,services@cemexglobalsolutions.com,01788 517000,,,,,,0,,,,,df2
375,Landfill,Wraysbury Landfill Site,"Land/Premises at Staines Road, Wraysbury",Staines,TW19 5NH,51.4581184,-0.544658,,,01784 482613 council,,,,,,0,,,,,df2
376,Landfill,Burghfield Landfill Site,Island Road,Reading,RG2 0RR,51.4344926,-0.9682365,,biffa-award@wildlifetrusts.org,,,,,,,0,,,,,df2
