material,stage,value,unit,gwp_basis,source,source_year,source_url,geography,data_quality,notes
*,collection_transport,0.10749,kg CO2e per tonne-km,IPCC AR5 GWP100,UK Government GHG Conversion Factors for Company Reporting - Freighting goods (HGV all diesel, average laden, incl. WTT),2024,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2024,UK,secondary-published,Applied to every road leg (collection to reprocessor/reuse site and the landfill counterfactual haul). Re-verify the exact HGV row on each annual DESNZ update.
*,landfill_transport,0.10749,kg CO2e per tonne-km,IPCC AR5 GWP100,UK Government GHG Conversion Factors for Company Reporting - Freighting goods (HGV all diesel, average laden, incl. WTT),2024,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2024,UK,secondary-published,Same HGV factor as collection_transport; separated so the baseline haul can use a different distance.
Paper and card,landfill_disposal,1041.0,kg CO2e per tonne,IPCC AR5 GWP100,UK Government GHG Conversion Factors - Waste disposal (Paper and board / mixed paper to landfill),2024,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2024,UK,secondary-published,Landfill methane from anaerobic decomposition of cellulose dominates this factor.
Paper and card,reprocessing,21.0,kg CO2e per tonne,IPCC AR5 GWP100,WRAP - Environmental benefits of recycling (paper reprocessing energy),2010,https://wrap.org.uk/resources/report/environmental-benefits-recycling-2010-update,UK/EU,secondary-published,Process energy to pulp and re-form recovered fibre.
Paper and card,virgin_production_avoided,1100.0,kg CO2e per tonne,cradle-to-gate,Inventory of Carbon and Energy (ICE) database v3.0 - paper (virgin, primary fibre),2019,https://circularecology.com/embodied-carbon-footprint-database.html,UK/global,secondary-published,Credit for displacing virgin primary-fibre paper production.
Textiles,landfill_disposal,445.0,kg CO2e per tonne,IPCC AR5 GWP100,UK Government GHG Conversion Factors - Waste disposal (Textiles to landfill),2024,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2024,UK,secondary-published,Natural-fibre fraction decomposes; synthetic fraction is inert in landfill.
Textiles,reuse_processing,7.0,kg CO2e per tonne,IPCC AR5 GWP100,WRAP - Valuing our clothes (sorting and grading energy),2017,https://wrap.org.uk/resources/report/valuing-our-clothes-cost-uk-fashion,UK,secondary-estimate,Sorting, grading and redistribution energy for reuse.
Textiles,virgin_production_avoided,7869.0,kg CO2e per tonne,cradle-to-gate,DEFRA / WRAP textiles life-cycle assessment (retained from project reuse_offset dataset),2006,https://www.gov.uk/government/collections/government-conversion-factors-for-company-reporting,UK,secondary-legacy,Legacy project value; flagged for refresh against a current textiles LCA.
Ferrous metals,landfill_disposal,8.9,kg CO2e per tonne,IPCC AR5 GWP100,UK Government GHG Conversion Factors - Waste disposal (Metal / steel cans to landfill),2024,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2024,UK,secondary-published,Metals are inert in landfill; factor is handling and transfer only.
Ferrous metals,reprocessing,430.0,kg CO2e per tonne,IPCC AR5 GWP100,WRAP - Environmental benefits of recycling (steel, EAF reprocessing),2010,https://wrap.org.uk/resources/report/environmental-benefits-recycling-2010-update,UK/EU,secondary-published,Electric-arc-furnace remelt energy for recovered steel scrap.
