UID_Row,Sup_type,Supplier_type,Supplier_name,Address_Street,City,County,Postcode,Lat,Long,Hierarchy,Category,MIX01,PLA01,HAR01,MET01,PAP01,TIM01,DMR01,CEIL01,HAZ01,GLA01,MUN01,CON01,BRI01,FURN01,FLO01,INS01,GARD01,TIL01,NON01,NHM01,Other
3,Charity,1,2ND chance Furniture (Nuneaton),Abbeygate Shopping Centre,Nuneaton,Warwickshire,CV11 4EL,52.5232935,-1.4676562,Reuse ,A,,,,,,,,,,,,,,,,,,,,,
3,Charity,1,2ND chance Furniture (Nuneaton),Abbeygate Shopping Centre,Nuneaton,Warwickshire,CV11 4EL,52.5232935,-1.4676562,Reuse ,A,,,,,,,,,,,,,,,,,,,,,
3,Charity,1,2ND chance Furniture (Nuneaton),Abbeygate Shopping Centre,Nuneaton,Warwickshire,CV11 4EL,52.5232935,-1.4676562,Reuse ,A,,,,,,,,,,,,,,,,,,,,,
4,Charity,1,610 Youth & Community Centre,610 Kingstanding Road,Old Oscott,West Midlands,B44 9SH,52.5474,-1.88511,Reuse ,A,,,,,,,,,,,,,,,,,,,,,
4,Charity,1,610 Youth & Community Centre,610 Kingstanding Road,Old Oscott,West Midlands,B44 9SH,52.5474,-1.88511,Reuse ,A,,,,,,,,,,,,,,,,,,,,,
4,Charity,1,610 Youth & Community Centre,610 Kingstanding Road,Old Oscott,West Midlands,B44 9SH,52.5474,-1.88511,Reuse ,A,,,,,,,,,,,,,,,,,,,,,
5,Charity,1,9 Lives Furniture,25 Wharf Lane,Watford,Hertfordshire,WD3 1HA,51.6391281,-0.4648515,Reuse ,A,,,,,,,,,,,,,,,,,,,,,
5,Charity,1,9 Lives Furniture,25 Wharf Lane,Watford,Hertfordshire,WD3 1HA,51.6391281,-0.4648515,Reuse ,A,,,,,,,,,,,,,,,,,,,,,
5,Charity,1,9 Lives Furniture,25 Wharf Lane,Watford,Hertfordshire,WD3 1HA,51.6391281,-0.4648515,Reuse ,A,,,,,,,,,,,,,,,,,,,,,
8,Recycling facility,5,A M Waste London,Unit 6 Burdon & Miles Industrial Estate,Cheshunt,Hertfordshire,EN8 9SP,51.706048,-0.0239082,MRF,C,,,,,,,,,,,,,,,,,,,,,
8,Recycling facility,5,A M Waste London,Unit 6 Burdon & Miles Industrial Estate,Cheshunt,Hertfordshire,EN8 9SP,51.706048,-0.0239082,MRF,C,,,,,,,,,,,,,,,,,,,,,
8,Recycling facility,5,A M Waste London,Unit 6 Burdon & Miles Industrial Estate,Cheshunt,Hertfordshire,EN8 9SP,51.706048,-0.0239082,MRF,C,,,,,,,,,,,,,,,,,,,,,
8,Recycling facility,5,A M Waste London,Unit 6 Burdon & Miles Industrial Estate,Cheshunt,Hertfordshire,EN8 9SP,51.706048,-0.0239082,MRF,C,,,,,,,,,,,,,,,,,,,,,
8,Recycling facility,5,A M Waste London,Unit 6 Burdon & Miles Industrial Estate,Cheshunt,Hertfordshire,EN8 9SP,51.706048,-0.0239082,MRF,C,,,,,,,,,,,,,,,,,,,,,
8,Recycling facility,5,A M Waste London,Unit 6 Burdon & Miles Industrial Estate,Cheshunt,Hertfordshire,EN8 9SP,51.706048,-0.0239082,MRF,C,,,,,,,,,,,,,,,,,,,,,
8,Recycling facility,5,A M Waste London,Unit 6 Burdon & Miles Industrial Estate,Cheshunt,Hertfordshire,EN8 9SP,51.706048,-0.0239082,MRF,C,,,,,,,,,,,,,,,,,,,,,
16,Recycling facility,5,Able Waste,43 Imperial way,Croydon,Surrey,CR0 4RR,51.35718,-0.12058,MRF,C,,,,,,,,,,,,,,,,,,,,,
16,Recycling facility,5,Able Waste,43 Imperial way,Croydon,Surrey,CR0 4RR,51.35718,-0.12058,MRF,C,,,,,,,,,,,,,,,,,,,,,
16,Recycling facility,5,Able Waste,43 Imperial way,Croydon,Surrey,CR0 4RR,51.35718,-0.12058,MRF,C,,,,,,,,,,,,,,,,,,,,,
16,Recycling facility,5,Able Waste,43 Imperial way,Croydon,Surrey,CR0 4RR,51.35718,-0.12058,MRF,C,,,,,,,,,,,,,,,,,,,,,
16,Recycling facility,5,Able Waste,43 Imperial way,Croydon,Surrey,CR0 4RR,51.35718,-0.12058,MRF,C,,,,,,,,,,,,,,,,,,,,,
16,Recycling facility,5,Able Waste,43 Imperial way,Croydon,Surrey,CR0 4RR,51.35718,-0.12058,MRF,C,,,,,,,,,,,,,,,,,,,,,
16,Recycling facility,5,Able Waste,43 Imperial way,Croydon,Surrey,CR0 4RR,51.35718,-0.12058,MRF,C,,,,,,,,,,,,,,,,,,,,,
20,Charity,1,Acting for Others,West Suite,Covent Garden,London,WC2E 9AR,51.51138,-0.12596,Reuse ,A,,,,,,,,,,,,,,,,,,,,,
20,Charity,1,Acting for Others,West Suite,Covent Garden,London,WC2E 9AR,51.51138,-0.12596,Reuse ,A,,,,,,,,,,,,,,,,,,,,,
20,Charity,1,Acting for Others,West Suite,Covent Garden,London,WC2E 9AR,51.51138,-0.12596,Reuse ,A,,,,,,,,,,,,,,,,,,,,,
21,Recycling facility,5,AE Burgess & Sons,Ulverscroft Road,Leicester,Leicestershire,LE4 0BY,52.64678,-1.14159,MRF,C,,,,,,,,,,,,,,,,,,,,,
21,Recycling facility,5,AE Burgess & Sons,Ulverscroft Road,Leicester,Leicestershire,LE4 0BY,52.64678,-1.14159,MRF,C,,,,,,,,,,,,,,,,,,,,,
21,Recycling facility,5,AE Burgess & Sons,Ulverscroft Road,Leicester,Leicestershire,LE4 0BY,52.64678,-1.14159,MRF,C,,,,,,,,,,,,,,,,,,,,,
21,Recycling facility,5,AE Burgess & Sons,Ulverscroft Road,Leicester,Leicestershire,LE4 0BY,52.64678,-1.14159,MRF,C,,,,,,,,,,,,,,,,,,,,,
21,Recycling facility,5,AE Burgess & Sons,Ulverscroft Road,Leicester,Leicestershire,LE4 0BY,52.64678,-1.14159,MRF,C,,,,,,,,,,,,,,,,,,,,,
21,Recycling facility,5,AE Burgess & Sons,Ulverscroft Road,Leicester,Leicestershire,LE4 0BY,52.64678,-1.14159,MRF,C,,,,,,,,,,,,,,,,,,,,,
21,Recycling facility,5,AE Burgess & Sons,Ulverscroft Road,Leicester,Leicestershire,LE4 0BY,52.64678,-1.14159,MRF,C,,,,,,,,,,,,,,,,,,,,,
30,Charity,1,Amersham Youth Activities,Amersham Youth Activities,Amersham,Buckinghamshire,HP6 5AH,51.67626,-0.60224,Reuse ,A,,,,,,,,,,,,,,,,,,,,,
30,Charity,1,Amersham Youth Activities,Amersham Youth Activities,Amersham,Buckinghamshire,HP6 5AH,51.67626,-0.60224,Reuse ,A,,,,,,,,,,,,,,,,,,,,,
30,Charity,1,Amersham Youth Activities,Amersham Youth Activities,Amersham,Buckinghamshire,HP6 5AH,51.67626,-0.60224,Reuse ,A,,,,,,,,,,,,,,,,,,,,,
31,Recycling facility,5,Aquaforce Recycling,Sprint Ind Est,Wolverhampton,West Midlands,WV10 7DB,52.67485,-2.12128,MRF,C,,,,,,,,,,,,,,,,,,,,,
31,Recycling facility,5,Aquaforce Recycling,Sprint Ind Est,Wolverhampton,West Midlands,WV10 7DB,52.67485,-2.12128,MRF,C,,,,,,,,,,,,,,,,,,,,,
31,Recycling facility,5,Aquaforce Recycling,Sprint Ind Est,Wolverhampton,West Midlands,WV10 7DB,52.67485,-2.12128,MRF,C,,,,,,,,,,,,,,,,,,,,,
